latitude,longitude,vehicle_type,junction_name,police_station,hours_blocked,CIS
12.9810816,77.6101277,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9517015,77.7174774,TANKER,No Junction,Whitefield,3.0,45.0
12.9813102,77.6102161,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9816998,77.6082715,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9817365,77.6103844,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.8436035,77.6442163,TANKER,No Junction,Electronic City,3.0,45.0
12.9797748,77.6072339,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.981667,77.6080098,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9814694,77.6086345,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9813082,77.6090335,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.8935703,77.6368891,TANKER,No Junction,Hulimavu,3.0,45.0
12.981247,77.609253,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9814088,77.6087054,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9813565,77.6089371,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9813194,77.6090667,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9812689,77.6092024,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9812251,77.6092834,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9814694,77.6086345,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9625683,77.716875,TANKER,No Junction,HAL Old Airport,3.0,45.0
12.9794267,77.6068156,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9811734,77.6077753,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9800095,77.6072865,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9794453,77.607132,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9794419,77.6068976,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9517053,77.7174028,TANKER,No Junction,Whitefield,3.0,45.0
12.9817151,77.6103478,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9809857,77.6102013,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9797663,77.6095494,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9797751,77.6096029,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9797731,77.6095535,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9809348,77.6101725,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9796385,77.6098348,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9812469,77.6093004,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9813331,77.6089488,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9817046,77.6083163,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9809696,77.610193,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.980966,77.6101886,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9792561,77.6070028,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9797663,77.6095494,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9819757,77.6073621,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9819757,77.6073621,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9797751,77.6096029,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.979848,77.6095943,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9796124,77.6071122,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9793519,77.6070243,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9797366,77.6071231,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.981411,77.6086846,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9817558,77.6103923,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.981335,77.6102364,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.98153,77.6102669,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9820438,77.610439,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9811983,77.6102378,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.883962746131427,77.63935815199625,TANKER,No Junction,Hulimavu,3.0,45.0
12.9562501,77.7314377,TANKER,No Junction,Whitefield,3.0,45.0
12.98134,77.6101717,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9813942,77.6086676,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9814305,77.6102676,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9795247,77.6071221,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9798614,77.609573,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9793956,77.6100563,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9797206,77.6095448,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9816358,77.6103822,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9805974,77.6075018,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.979848,77.6095943,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.979865,77.6096007,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9796085,77.6071162,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9793875,77.6071372,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9812933,77.60993,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9811804,77.6093411,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9821336,77.6104737,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9822608,77.6104721,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9812731,77.609151,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9819558,77.6073957,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9817598,77.6076484,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.98113,77.6077176,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9817838,77.6076681,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9815504,77.6084249,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9793406,77.6070207,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9811709,77.6093657,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9812612,77.6092196,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9812469,77.6093004,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9817968,77.610403,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9812785,77.6091127,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.981033,77.6076984,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9817684,77.6103871,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.98174,77.6103726,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9820692,77.6070929,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9793897,77.6063704,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.981033,77.6076984,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9811734,77.6077753,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9814666,77.6102436,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9798137,77.607226,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.98147,77.6102706,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9814596,77.6102499,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9796124,77.6071122,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9813338,77.6101693,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9817598,77.6076484,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.95045,77.5379717,TANKER,BTP096 - Gali Anjaneya Temple,Byatarayanapura,3.0,45.0
12.9811002,77.6099852,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9814652,77.6308448,TANKER,No Junction,Halasur,3.0,45.0
12.9822936,77.6064235,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9812689,77.6092024,MOPED,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9816393,77.6099204,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9816099,77.6103586,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9821874,77.6105472,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9817242,77.6103323,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9815041,77.6102646,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810547,77.6100298,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9821874,77.6105472,MAXI-CAB,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9817284,77.6103353,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9813328,77.6102444,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9820535,77.610432,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9815183,77.6062733,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9815552,77.6084174,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9818353,77.6094609,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9809702,77.6101974,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9822173,77.6105132,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9819054,77.6104275,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810064,77.6101783,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9822852,77.6059855,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9811977,77.6101217,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9809988,77.6101787,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810451,77.6101971,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9817071,77.6103729,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.981241,77.6101581,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9809722,77.6101939,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.981241,77.6101581,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9814982,77.6103001,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9822541,77.6104602,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9822541,77.6104602,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810892,77.6101207,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9813781,77.6102695,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9817417,77.6103713,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9828159,77.6065355,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810104,77.6102661,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9811979,77.6101376,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9809857,77.6102013,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9817667,77.609633,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9820183,77.6103,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810236,77.610196,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9809946,77.6101907,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.981012,77.6101914,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9809803,77.6102012,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9809808,77.6104159,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810583,77.6100875,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810946,77.6101537,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9813078,77.6102782,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9811755,77.6077733,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9822313,77.6104745,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9820114,77.610464,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9817451,77.609681,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9822206,77.6059543,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9821345,77.610445,LGV,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9811259,77.6101633,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9817838,77.6094419,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9811433,77.61017,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9812721,77.6101584,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9821038,77.6105363,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9819926,77.6104448,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9809857,77.6102013,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9812038,77.6105777,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9806277,77.6074994,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810988,77.6101358,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810345,77.6104595,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9819202,77.6104371,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9811208,77.6101292,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9811346,77.6101729,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810847,77.6101735,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810736,77.6101578,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.981082,77.6101319,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9818446,77.6057779,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9831828,77.6063248,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9809655,77.6102246,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9811338,77.6100457,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.981326,77.6102658,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810519,77.6100933,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810483,77.6102467,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9809655,77.6102246,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9816727,77.6103155,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9816727,77.6103155,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9814183,77.6101573,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9819038,77.6104222,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9818448,77.6096774,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810529,77.6101077,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9817833,77.6095769,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810321,77.610231,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9817498,77.6096684,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9814692,77.6102157,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9802162,77.6073283,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9817488,77.609683,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810434,77.6101414,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810519,77.6101513,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810643,77.6101516,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9814784,77.6085509,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9814501,77.6087082,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9803347,77.6074173,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810519,77.6100994,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810969,77.6100996,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810583,77.61011,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810486,77.610144,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810755,77.6101424,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.981085,77.61011,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9815217,77.6102417,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9813462,77.6102641,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810487,77.6101646,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810732,77.6101406,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9822308,77.606566,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9831828,77.6063248,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9812334,77.6101929,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9822508,77.6105277,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9812123,77.6094369,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9822508,77.6105277,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9815461,77.6103074,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9811785,77.6101935,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9816628,77.6096344,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810643,77.6101516,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.98152,77.6102274,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9816381,77.6081158,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9816465,77.6081033,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9816575,77.6082312,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9795746,77.6071948,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9818123,77.6095741,MOTOR CYCLE,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810986,77.6101404,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9815315,77.6085172,MAXI-CAB,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810083,77.6101917,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9816552,77.6081664,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810506,77.6101935,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9809264,77.6102084,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9836047,77.6065891,MAXI-CAB,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.980429,77.6073872,JEEP,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9822313,77.6104745,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9809854,77.6102866,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810097,77.6101774,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.981147,77.6101119,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810741,77.6102435,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9811295,77.6101983,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810269,77.6102268,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9810877,77.6101735,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
12.9812753,77.6102095,PASSENGER AUTO,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,33.75
